id,gdp,currency,city_id,gdp_year
134,43700000000000.0,USD     US Dollar,35853,2016
135,256000000000.0,EUR     Euro,31175,2015
136,2190900000.0,DKK     Danish Krone,59180,2016
137,14057000000.0,USD     US Dollar,54066,2015
138,2.0,MXN     Mexican Peso,50375,2014
139,197193000000.0,USD     US Dollar,35874,2015
140,35600000000000.0,COP     Colombian Peso,31154,2016
141,22635.0,USD     US Dollar,54389,2016
142,31769.0,EUR     Euro,36285,2015
143,13900000000.0,USD     US Dollar,58310,2013
144,22043000000.0,USD     US Dollar,54128,2015
145,78950000.0,USD     US Dollar,31177,2015
146,17111263000000.0,TWD     New Taiwan Dollar,54395,2016
147,17400000000.0,CAD     Canadian Dollar,50568,2016
148,19908.0,BRL     Brazilian Real,57509,2013
149,71856593000000.0,CLP     Chilean Peso,31180,2015
150,122146000000.0,USD     US Dollar,31090,2015
151,87656760000.0,BRL     Brazilian Real,35848,2014
152,622762000000.0,TRY     New Turkish Lira,31163,2014
153,323182960000.0,DKK     Danish Krone,31009,2015
154,11000000000.0,GBP     Pound Sterling,31052,2015
155,218.0,MXN Mexican Peso,50359,2015
156,2363878.0,,60318,2013
157,1460000000.0,AUD     Australian Dollar,58543,2015
158,21200000000.0,USD     US Dollar,50572,2015
159,45228000000.0,CAD     Canadian Dollar,43912,2015
160,9900000.0,USD     US Dollar,55616,2016
161,27025.0,,54388,2012
162,113400000000.0,CAD     Canadian Dollar,35475,2016
163,4903000000.0,USD     US Dollar,54113,2015
164,39155000000.0,USD     US Dollar,54048,2015
165,72067440000.0,EUR     Euro,8242,2014
166,529676000000.0,USD     US Dollar,31446,2016
167,10000.0,TRY     New Turkish Lira,35755,2017
168,30300000000.0,USD     US Dollar,49327,2012
169,86024000.0,USD     US Dollar,63616,2015
170,2244657.0,USD     US Dollar,58461,2013
171,35900000000.0,DKK     Danish Krone,59165,2015
172,88295000.0,NZD     New Zealand Dollar,43932,2015
173,14322000000.0,USD     US Dollar,54070,2015
174,930817000.0,USD     US Dollar,58357,2015
175,6.0,PHP     Philippine Peso,54354,2015
176,64567300000.0,EUR     Euro,1499,2014
177,10245550000.0,EUR     Euro,36254,2014
178,1802000000.0,EUR     Euro,55324,2015
179,15796000000.0,USD     US Dollar,55800,2012
180,89771259.0,PEN     Nuevo Sol,60392,2017
181,16121000000.0,USD     US Dollar,36036,2014
182,51303000000.0,CAD     Canadian Dollar,20113,2016
183,7727035000.0,EUR     Euro,31165,2013
184,11908000000.0,USD     US Dollar,59633,2015
185,5562586779.0,USD     US Dollar,50559,2015
186,1922000000.0,CHF     Swiss Franc,59160,2015
187,4855510958.0,USD     US Dollar,55801,2017
188,5980612000.0,USD     US Dollar,59631,2012
189,22997319000.0,USD     US Dollar,42178,2014
190,198000000000.0,USD     US Dollar,53921,2014
191,35124.0,ARS     Argentine Peso,60419,2015
192,17975.0,EUR     Euro,43926,2014
193,36225000000.0,AUD     Australian Dollar,43928,2016
194,235733000000.0,USD     US Dollar,35879,2015
195,30990000000.0,CHF     Swiss Franc,31151,2013
196,529700000.0,USD     US Dollar,31112,2016
197,58000000000.0,GBP     Pound Sterling,35898,2015
198,410300000000.0,,35993,2016
199,17000000000.0,DKK     Danish Krone,62855,2015
200,3300000000.0,ZAR     South African Rand,35863,2016
201,431704.0,USD     US Dollar,54078,2015
202,529676000000.0,USD     US Dollar,56276,2016
203,119949000000.0,USD     US Dollar,1184,2015
204,23414000000.0,USD     US Dollar,54104,2015
205,930817000000.0,USD     US Dollar,10894,2015
206,1985000000.0,DKK     Danish Krone,58671,2015
207,107287000.0,ARS     Argentine Peso,31155,2016
208,1789700000000.0,PLN     Zloty,54497,2015
209,7600000000.0,USD     US Dollar,54057,2012
210,36358000000.0,USD     US Dollar,55415,2014
211,7207409711.0,USD     US Dollar,64014,2015
212,9421016.0,,50392,2016
213,16409537.0,BRL     Brazilian Real,54623,2013
214,17000000000.0,USD     US Dollar,54092,2012
215,3187000000.0,USD     US Dollar,36045,2016
216,86740506.0,USD     US Dollar,59158,2016
217,226356000000.0,PLN     Zloty,31185,2014
218,8025000000.0,USD     US Dollar,54100,2014
219,78478000000.0,USD     US Dollar,13067,2015
220,1637750000.0,GIP     Gibraltar pound,50650,2015
221,18709027233.0,DKK     Danish Krone,60433,2015
222,529700000000.0,USD     US Dollar,57347,2016
223,411161000000.0,USD     US Dollar,31181,2015
224,50688395.0,BRL     Brazilian Real,35872,2014
225,72600000000.0,NOK     Norwegian Krone,58395,2016
226,4.0,COP     Colombian Peso,60374,2012
227,69037000000.0,CHF     Swiss Franc,35449,2015
228,193972000000.0,USD     US Dollar,32550,2015
229,8475831683.0,USD     US Dollar,63999,2014
230,431704000000.0,USD     US Dollar,50560,2015
231,12302882987.0,ARS     Argentine Peso,50371,2016
232,4676285000.0,BRL     Brazilian Real,60273,2014
233,128448000000.0,USD     US Dollar,35859,2015
